sample_id	Pb_2hr.dat	Pb_4hr.dat	Pb_6hr.dat	Pb_8hr.dat	Pb_10hr.dat	Pb_12hr.dat	Pb_14hr.dat	Pb_16hr.dat	Pb_18hr.dat	Pb_20hr.dat	Pb_22hr.dat	Pb_24hr.dat
PBANKA_1455100	-0.930383899	-0.293094798	-0.506416065	0.09915264	0.101229357	0.083757824	0.113781782	-0.558658534	-0.208155735	-0.297390321	-0.027796551	-0.150410004
PBANKA_1110500	-0.182738089	0.044335753	0.399639666	0.29559123	0.605170154	0.009466211	-0.020875693	-0.5268167	-0.894131454	-1.452589591	-1.230613618	-1.044565939
PBANKA_0604300	-1.51791924	-1.054191619	-0.780439588	-0.266000428	0.292349145	0.340710541	0.706689671	0.221055529	0.030833675	-0.635207624	-0.76294514	-1.283301957
PBANKA_1105000	0.334311441	-0.203822703	0.22989431	0.176688514	0.256283241	0.050873988	-0.21258997	-0.270321327	-0.497454094	-0.776476283	-1.408821014	-2.364660842
PBANKA_1202400	0.113527909	0.08710236	0.234636313	0.137752906	0.43316398	-0.204629977	-0.362137441	-0.578104099	-0.582826302	-1.264285736	-0.285135151	0.112565002
PBANKA_0502200	0.091187204	0.677039762	0.299517308	0.544726221	0.478918893	0.458130173	0.196596545	-0.233084309	-0.283425053	-0.561697776	-1.126084193	-0.706199271
PBANKA_1109400	0.305052261	0.240526719	0.542885229	0.063034804	0.114509794	-1.466277554	0.318159826	0.206871607	-0.087031784	-0.53619513	-0.487836367	-0.454232175
PBANKA_1201900	0.204707002	0.201988845	0.501237031	0.448817911	0.036689297	-0.054168096	-0.286338361	-0.844580892	-1.111030126	-1.742952145	-0.828073675	-0.399989778
PBANKA_1102200	0.063277586	0.526522627	-0.003427593	-0.133085633	-0.166534525	-0.385274408	-0.873321975	-0.359294974	-0.14269629	0.369772325	0.798531944	1.268753311
PBANKA_1302800	-0.301413891	-0.218061643	0.050136331	0.017614937	0.443735864	0.844818239	0.459912902	0.085443592	-0.448823073	-1.078694621	-1.582781962	-1.696708029
PBANKA_1423600	0.499256972	-0.275893676	0.468730858	0.565074186	0.4767718	0.178923978	-0.380905119	-0.928929876	-1.191534099	-1.89218878	-1.590368984	-1.44526237
PBANKA_1232200	-0.336860692	0.399877437	0.180832477	0.232120643	-0.515870901	0.438875357	0.108809968	-0.05479535	0.106358368	0.028365048	-0.115639756	0.111809474
