"","status","family","pval","qval"
"PBANKA_0714300","OK","negbinomial.size",4.20662873123135e-129,1.81410864034352e-127
"PBANKA_0714500","OK","negbinomial.size",3.31241795918596e-54,2.77374804834746e-53
"PBANKA_0714800","OK","negbinomial.size",4.76559882505634e-16,9.89248853576677e-16
"PBANKA_0714900","OK","negbinomial.size",7.72899255637776e-49,5.74677248265157e-48
"PBANKA_0715400","OK","negbinomial.size",1.15060906620297e-17,2.56434191111126e-17
"PBANKA_0716400","OK","negbinomial.size",1.1169170204146e-75,1.66093263811655e-74
"PBANKA_0716800","OK","negbinomial.size",5.46985323929491e-149,3.77419873511349e-147
"PBANKA_0717400","OK","negbinomial.size",6.22667231484743e-07,8.83192674416406e-07
"PBANKA_0717500","OK","negbinomial.size",3.88889608206149e-09,6.00030925005015e-09
"PBANKA_0717700","OK","negbinomial.size",1.05858428694114e-09,1.66763278079768e-09
"PBANKA_0718300","OK","negbinomial.size",1.00021109058323e-30,3.92128211649107e-30
"PBANKA_0719300","OK","negbinomial.size",1.17101460708155e-06,1.63695315819747e-06
"PBANKA_0719500","OK","negbinomial.size",2.14403447764964e-24,6.31136429000962e-24
"PBANKA_0719800","OK","negbinomial.size",9.58003428490207e-56,8.43140772523269e-55
