"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_0919600",0,27,0,19,0,1,0,34,4,0,0,0,0,10,0,0,0,5,61,0,5,0
"PF3D7_0919700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0919800",11,152,0,82,0,7,141,445,0,13,0,9,1,90,463,156,48,39,62,0,33,132
"PF3D7_0919900",39,0,0,60,0,114,31,1,391,153,3859,102,294,223,32,670,398,362,2,203,481,4
"PF3D7_0920000",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0
"PF3D7_0920100",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,24,0
"PF3D7_0920200",1,0,0,24,0,0,0,0,0,21,0,0,31,0,0,0,12,9,0,0,0,0
"PF3D7_0920300",142,0,0,136,0,256,0,0,261,449,479,0,335,319,0,0,290,122,0,86,221,0
"PF3D7_0920400",0,4,0,26,0,0,3,0,0,43,0,250,0,0,0,0,9,1,0,0,0,48
"PF3D7_0920500",0,0,0,0,0,4,0,0,1,45,0,0,2,0,0,0,3,0,0,4,0,0
"PF3D7_0920600",1,0,2,19,2,3,1,0,0,0,3,40,2,0,1,6,0,1,8,5,21,20
"PF3D7_0920700",0,0,0,0,0,7,0,0,0,12,0,48,0,15,0,0,0,0,0,0,2,0
"PF3D7_0920800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0920900",0,0,0,0,0,28,0,0,0,17,0,0,0,1,0,0,1,3,0,0,54,0
"PF3D7_0921000.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0921000.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0921100",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"PF3D7_0921200",12,4,2,4,0,0,15,0,0,11,0,4,10,12,0,363,0,3,4,1,0,0
"PF3D7_0921300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0921400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0921500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0921600",9,0,0,5,0,0,0,0,27,12,0,0,11,0,0,1,87,0,0,0,5,0
"PF3D7_0921700",1,0,0,17,31,0,0,0,4,1,0,0,0,11,0,1,0,0,0,0,0,111
"PF3D7_0921800",0,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,1,0,0,0,38,0
"PF3D7_0921900",0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0922000",0,50,0,0,0,0,546,805,0,0,0,120,0,0,0,214,0,0,221,0,0,0
"PF3D7_0922100",62,10,1,20,144,35,0,0,0,0,0,4,13,125,81,3,21,20,34,20,21,50
"PF3D7_0922200",5,0,0,19,0,74,0,0,52,34,0,778,2,316,0,0,0,158,0,0,117,0
"PF3D7_0922300",184,0,0,430,0,131,0,15,167,509,8594,0,119,1480,0,0,57,216,0,4,276,0
"PF3D7_0922400",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
