"","pm.19","pm.51","pm.65","pm.67","pm.82","pm.103","pm.114","pm.115","pm.145","pm.146","pm.161","pm.162","pm.178"
"PmUG01_00037100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00037200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00037500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00037600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00037700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00037800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00038000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00038400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00038500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00038600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00038800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00038900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00039300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00039400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00039500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00039700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00039800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00039900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00040700",0,0,0,2.8073549220576,0,0,0,0,0,0,0,0,1
"PmUG01_00040800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00041800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00042900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00043200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00043300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00043400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00043500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00043600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00043800",0,0,0,0,0,0,0,0,0,0,0,2.32192809488736,0
"PmUG01_00043900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00044900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00045700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00046900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00047800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00048900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00049000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00049200",0,0,0,1,0,0,0,0,0,0,0,0,0
"PmUG01_00049400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00049500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00049600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00049700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00049800",5,0,5.52356195605701,0,0,0,6.58496250072116,2.32192809488736,6.64385618977472,0,6.61470984411521,0,4.39231742277876
"PmUG01_00049900",0,6.83289001416474,4.52356195605701,0,0,0,5.93073733756289,0,0,0,0,0,0
"PmUG01_00050000",4.08746284125034,0,0,0,0,0,0,1.58496250072116,0,5.52356195605701,0,0,0
"PmUG01_00050100",6.89481776330794,0,0,0,0,0,0,2.58496250072116,6.4594316186373,0,0,0,0
"PmUG01_00050200",0,0,0,0,5.49185309632967,0,0,0,0,0,0,0,0
"PmUG01_00050300",0,0,4.75488750216347,0,0,0,4.58496250072116,0,0,0,4.08746284125034,0,0
"PmUG01_00050400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00050500",0,2.32192809488736,3.70043971814109,7.11894107272351,1,0,6.89481776330794,1.58496250072116,4.58496250072116,2.8073549220576,0,0,5.49185309632967
"PmUG01_00050600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00050700",0,0,0,0,0,2.58496250072116,0,1,0,0,0,0,0
"PmUG01_00050800",0,0,0,6.97727992349992,3,0,0,0,0,0,0,0,1.58496250072116
"PmUG01_00050900",0,0,0,0,0,0,0,0,0,0,0,0,4.75488750216347
"PmUG01_00051000",5,0,0,0,0,0,0,0,0,0,0,0,2
"PmUG01_00051100",5.8073549220576,0,0,0,0,0,0,2.58496250072116,0,6.6724253419715,3.8073549220576,1.58496250072116,3.58496250072116
"PmUG01_00051200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00051300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00051500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00051600",0,0,0,0,2.8073549220576,0,3,2.32192809488736,0,4.85798099512757,0,0,0
"PmUG01_00051700",0,0,0,0,0,7.31288295528436,0,0,0,0,0,0,0
"PmUG01_00051800",4.16992500144231,0,0,0,5.12928301694497,0,1.58496250072116,0,1.58496250072116,0,0,0,5.49185309632967
"PmUG01_00051900",0,0,0,0,2,0,0,0,0,0,0,0,0
"PmUG01_00052100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00052200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00052400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00052500",0,0,0,0,0,0,0,1,0,0,0,0,0
"PmUG01_00052900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00053900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00054800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00055000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00055100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00055200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00055400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00055600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00055700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00056200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00056300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00056500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00056800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057100",0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0
"PmUG01_00057200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00057900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00058900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00059100",0,0,0,0,0,0,0,0,0,0,0,0,0
